1, 1, 0.000111
1, 10, 0.000127
1, 100, 0.000228
1, 1000, 0.000631
1, 10000, 0.00617
1, 20000, 0.032633
1, 50000, 0.069288
1, 100000, 0.268482
10, 1, 0.001077
10, 10, 0.00222
10, 100, 0.003453
10, 1000, 0.003719
10, 10000, 0.007538
10, 20000, 0.016294
10, 50000, 0.048796
10, 100000, 0.15131
100, 1, 0.00367
100, 10, 0.0064
100, 100, 0.011012
100, 1000, 0.014125
100, 10000, 0.024086
100, 20000, 0.045801
100, 50000, 0.07848
100, 100000, 0.256241
1000, 1, 0.046934
1000, 10, 0.082534
1000, 100, 0.129671
1000, 1000, 0.180224
1000, 10000, 0.23996
1000, 20000, 0.266783
1000, 50000, 0.316445
1000, 100000, 0.429005
10000, 1, 0.381412
10000, 10, 0.740528
10000, 100, 1.235621
10000, 1000, 1.770351
10000, 10000, 2.232754
10000, 20000, 2.440488
10000, 50000, 2.641837
10000, 100000, 3.256798
100000, 1, 3.0844
100000, 10, 6.208224
100000, 100, 10.525328
100000, 1000, 14.122249
100000, 10000, 20.123481
100000, 20000, 20.625646
100000, 50000, 21.758019
100000, 100000, 27.918009
