1, 1, 0.000105
1, 10, 0.000136
1, 100, 0.000283
1, 1000, 0.002738
1, 10000, 0.025584
1, 20000, 0.06919
1, 50000, 0.147405
1, 100000, 0.330401
10, 1, 0.00021
10, 10, 0.000234
10, 100, 0.000461
10, 1000, 0.00232
10, 10000, 0.024336
10, 20000, 0.050657
10, 50000, 0.156576
10, 100000, 0.3079
100, 1, 0.001019
100, 10, 0.001002
100, 100, 0.001221
100, 1000, 0.003122
100, 10000, 0.063035
100, 20000, 0.054337
100, 50000, 0.147974
100, 100000, 0.318052
1000, 1, 0.009802
1000, 10, 0.009455
1000, 100, 0.010707
1000, 1000, 0.011838
1000, 10000, 0.032627
1000, 20000, 0.063092
1000, 50000, 0.191836
1000, 100000, 0.321361
10000, 1, 0.101843
10000, 10, 0.100738
10000, 100, 0.10319
10000, 1000, 0.103102
10000, 10000, 0.127716
10000, 20000, 0.178837
10000, 50000, 0.252872
10000, 100000, 0.4764
100000, 1, 0.920141
100000, 10, 1.231623
100000, 100, 1.007041
100000, 1000, 1.015369
100000, 10000, 1.052722
100000, 20000, 1.043704
100000, 50000, 1.176923
100000, 100000, 1.548476
