1, 1, 6.9e-05
1, 10, 7e-05
1, 100, 6.4e-05
1, 1000, 6.9e-05
1, 10000, 0.000199
1, 20000, 0.000402
1, 50000, 0.000881
1, 100000, 0.002534
10, 1, 0.000449
10, 10, 0.000446
10, 100, 0.000466
10, 1000, 0.000666
10, 10000, 0.001202
10, 20000, 0.003003
10, 50000, 0.007745
10, 100000, 0.015817
100, 1, 0.001127
100, 10, 0.001103
100, 100, 0.001193
100, 1000, 0.001924
100, 10000, 0.011423
100, 20000, 0.023425
100, 50000, 0.08102
100, 100000, 0.166374
1000, 1, 0.011376
1000, 10, 0.01779
1000, 100, 0.015716
1000, 1000, 0.025254
1000, 10000, 0.107429
1000, 20000, 0.229142
1000, 50000, 0.679365
1000, 100000, 1.632775
10000, 1, 0.120494
10000, 10, 0.129672
10000, 100, 0.139022
10000, 1000, 0.233102
10000, 10000, 1.046634
10000, 20000, 2.019058
10000, 50000, 6.930468
10000, 100000, 14.187138
100000, 1, 0.981902
100000, 10, 0.965882
100000, 100, 1.052117
100000, 1000, 2.023531
100000, 10000, 9.832179
100000, 20000, 19.972528
100000, 50000, 65.103422
100000, 100000, 141.179472
