1, 1, 7.4e-05
1, 10, 7.1e-05
1, 100, 0.000142
1, 1000, 0.001211
1, 10000, 0.031412
1, 20000, 0.095558
1, 50000, 0.376285
1, 100000, 0.691813
10, 1, 0.000459
10, 10, 0.000495
10, 100, 0.000618
10, 1000, 0.002588
10, 10000, 0.031815
10, 20000, 0.10068
10, 50000, 0.327917
10, 100000, 0.823495
100, 1, 0.001288
100, 10, 0.001145
100, 100, 0.001237
100, 1000, 0.002295
100, 10000, 0.029665
100, 20000, 0.182332
100, 50000, 0.330144
100, 100000, 1.19344
1000, 1, 0.016055
1000, 10, 0.013012
1000, 100, 0.013696
1000, 1000, 0.014469
1000, 10000, 0.071575
1000, 20000, 0.157327
1000, 50000, 0.489091
1000, 100000, 1.272507
10000, 1, 0.136916
10000, 10, 0.13191
10000, 100, 0.136308
10000, 1000, 0.13838
10000, 10000, 0.196718
10000, 20000, 0.263037
10000, 50000, 0.62176
10000, 100000, 1.482034
100000, 1, 1.053666
100000, 10, 1.030994
100000, 100, 1.053723
100000, 1000, 1.051181
100000, 10000, 1.167879
100000, 20000, 1.181265
100000, 50000, 1.436087
100000, 100000, 2.63862
